Kecamatan  ,Jumlah_Kelurahan,Jumlah_Penduduk
Bandung Kulon,8,142411
Babakan Ciparay,6,147096
Bojongloa Kaler,5,120405
Bojongloa Kidul,6,85668
Astanaanyar,6,68830
Regol,7,81467
Lengkong,7,71187
Bandung Kidul,4,58957
Buah Batu,4,95108
Rancasari,4,76895
Gedebage,4,37082
Cibiru,4,72016
Panyileukan,4,40248
Ujung Berung,5,76902
Cinambo,4,25231
Arcamanik,4,69313
Antapani,4,74461
Mandalajati,4,63578
Kiaracondong,6,131972
Batununggal,8,120927
Sumur Bandung,4,36579
Andir,6,97553
Cicendo,6,99752
Bandung Wetan,3,31124
Cibeunying Kidul,6,107806
Cibeunying Kaler,4,70924
Coblong,6,131530
Sukajadi,5,108375
Sukasari,4,81908
Cidadap,3,58672
