Country Name,Country Code,Indicator Name,Indicator Code,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
"Nanggroe Aceh Darussalam, Prop.",ID.AC,Agriculture function expenditure (in IDR),FC.XPD.AGR.CR,,,,,,,,,,,,,,,,,,,,,,,,,,49569987533,49333004968,81309599515,78101753384,55104345537,78751493361,2.65E+11,5.72E+11,7.96E+11,6.81E+11,6.33E+11,7.42E+11,,,,
"Nanggroe Aceh Darussalam, Prop.",ID.AC,"Average National Exam Score: Junior Secondary Level (out of 100, available only in district level for 2009)",SE.NEXM.SCR.JRSEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nanggroe Aceh Darussalam, Prop.",ID.AC,"Average National Exam Score: Primary Level (out of 100, available only in district level for 2009)",SE.NEXM.SCR.PRM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nanggroe Aceh Darussalam, Prop.",ID.AC,"Average National Exam Score: Senior Secondary Level (out of 100, available only in district level for 2009)",SE.NEXM.SCR.SRSEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nanggroe Aceh Darussalam, Prop.",ID.AC,Birth attended by Skilled Health worker (in % of total birth),SH.STA.BRTC.ZS,,,,,,,,,,,,,,,,,,,,,57.30941,56.09997,57.78348,68.49794,,,96.27329,75.18671,82.25497,,76.39571,80.40255,83.07716,85.85636,87.16769,89.64925,91.70405,91.97438,93.61602,95.4,96.28
"Nanggroe Aceh Darussalam, Prop.",ID.AC,BPK Audit Report on Sub-National Budget,BPK.AUD.SUBN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,,,,,,,
"Nanggroe Aceh Darussalam, Prop.",ID.AC,Capital expenditure (in IDR),EC.XPD.CAP.CR,,,,,,,,,,,,,,,,,,,,,,,,,,94178653419,4.21E+11,3.36E+11,3.50E+11,3.12E+11,4.90E+11,,2.61E+12,6.15E+12,3.27E+12,1.47E+12,8.15E+11,1.65E+12,2.41E+12,2.03E+12,2.28E+12
"Nanggroe Aceh Darussalam, Prop.",ID.AC,Consumer Price Index in 42 cities base 1996,EP.CPI.1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nanggroe Aceh Darussalam, Prop.",ID.AC,Consumer Price Index in 45 cities base 2002,EP.CPI.2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nanggroe Aceh Darussalam, Prop.",ID.AC,Consumer Price Index in 66 cities base 2007,EP.CPI.2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nanggroe Aceh Darussalam, Prop.",ID.AC,Economy function expenditure (in IDR),FC.XPD.ECON.CR,,,,,,,,,,,,,,,,,,,,,,,,,,57298910091,93342288351,37311210578,41293642709,39787520546,44352355805,77937445650,1.90E+11,3.25E+11,2.26E+11,2.57E+11,2.59E+11,,,,
"Nanggroe Aceh Darussalam, Prop.",ID.AC,Education function expenditure (in IDR),FC.XPD.EDU.CR,,,,,,,,,,,,,,,,,,,,,,,,,,54759388537,3.20E+11,3.00E+11,2.72E+11,2.56E+11,2.68E+11,2.14E+11,7.53E+11,1.43E+12,9.23E+11,9.62E+11,9.46E+11,,,,
"Nanggroe Aceh Darussalam, Prop.",ID.AC,Environment function expenditure (in IDR),FC.XPD.ENVR.CR,,,,,,,,,,,,,,,,,,,,,,,,,,5376888078,15187813159,5425007866,5917628523,5913807106,4988799383,9122179850,13270000000,28580565000,13922283837,19078695167,20170000000,,,,
"Nanggroe Aceh Darussalam, Prop.",ID.AC,"Export: Animals and vegetable oil, fat and waxes (province Level, in USD)",TRAD.EXPT.OLFTW,,,,,,,,,,,,,,,,,,,,,,,2199825,49157,23100,,346748,725097,,,,815000,,,,,,,,,
"Nanggroe Aceh Darussalam, Prop.",ID.AC,"Export: Beverages and tobacco (province Level, in USD)",TRAD.EXPT.BVTO,,,,,,,,,,,,,,,,,,,,,,,,,,,842,,81000,,120240,9600,38400,,,,,,,,
"Nanggroe Aceh Darussalam, Prop.",ID.AC,"Export: Chemical and related products, nes (province Level, in USD)",TRAD.EXPT.CHEM,,,,,,,,,,,,,,,,,,,,,,,105600000,86908599,104400000,31183788,79489628,59089066,15268041,32966263,5179778,59356612,128700000,87727945,,,,,,,
"Nanggroe Aceh Darussalam, Prop.",ID.AC,"Export: Commodities and transaction not elsewhere classified (province Level, in USD)",TRAD.EXPT.OTHR,,,,,,,,,,,,,,,,,,,,,,,2437934,158275,,,,,,,,,,,,,,,,,
"Nanggroe Aceh Darussalam, Prop.",ID.AC,"Export: Crude materials, inedible, except fuels (province Level, in USD)",TRAD.EXPT.CRUD,,,,,,,,,,,,,,,,,,,,,,,1509526,1850843,902832,173713,950844,264735,236691,6254,,218,681231,978764,,,,,,,
"Nanggroe Aceh Darussalam, Prop.",ID.AC,"Export: Food and Live Animals (province Level, in USD)",TRAD.EXPT.FLVSK,,,,,,,,,,,,,,,,,,,,,,,492520,546665,262703,144325,349891,243700,1059798,35144,5357594,3409408,45383,167833,,,,,,,
"Nanggroe Aceh Darussalam, Prop.",ID.AC,"Export: Machinery and transport equipment (province Level, in USD)",TRAD.EXPT.MTRN,,,,,,,,,,,,,,,,,,,,,,,581327,5586,1554355,1965094,231799,491127,2831322,2425708,349092,,250082,1474441,,,,,,,
"Nanggroe Aceh Darussalam, Prop.",ID.AC,"Export: Manufactured goods, classified chiefly by material (province Level, in USD)",TRAD.EXPT.MANF,,,,,,,,,,,,,,,,,,,,,,,35342015,23285324,11389919,598111,770589,1866311,5307099,1814571,,,,607,,,,,,,
"Nanggroe Aceh Darussalam, Prop.",ID.AC,"Export: Mineral fuels, lubricants and related materials (province Level, in USD)",TRAD.EXPT.FUEL,,,,,,,,,,,,,,,,,,,,,,,1909000000,1667000000,1687000000,631632610,1487299749,1637586573,1786761316,2035162772,2021753438,1790639594,2104000000,1049056338,,,,,,,
"Nanggroe Aceh Darussalam, Prop.",ID.AC,"Export: Miscellaneous manufactures articles (province Level, in USD)",TRAD.EXPT.MANF.OTHR,,,,,,,,,,,,,,,,,,,,,,,1771188,1050699,779910,1041086,1674071,4354837,819071,4548,30405,4279,,41448,,,,,,,
"Nanggroe Aceh Darussalam, Prop.",ID.AC,GDP expenditure on changes in stock (in IDR Million),NE.GDI.STKB.CR,,,,,,,,,,,,,,,,,,301453,359728,638986,675862,682341,530879,683456,1214337,569392,-428503,2032112,416233,762904,1886469,-2388310,-475312,-1957469.51,932676.35,893855.2,2073876,1467503.5,,,
"Nanggroe Aceh Darussalam, Prop.",ID.AC,GDP expenditure on exports (in IDR Million),NE.GDI.EXPT.CR,,,,,,,,,,,,,,,,,,6079967,5498139,6702495,7370143,8708009,13289178,14694080,25582296,26115780,26330214,29174280,28500474,30444744,26520410,30157206,29071122,21051443.24,19470070.75,20737388.71,21765902,21951707,,,
"Nanggroe Aceh Darussalam, Prop.",ID.AC,GDP expenditure on general government consumption (in IDR Million),NE.GDI.CON.GOVT.CR,,,,,,,,,,,,,,,,,,749383,798204,885973,1136859,1261443,1437169,1343693,1543880,2302091,3138871,4469226,7114489,9655711,11623256,13502426,13924194,18304857.04,18520467.1,20824383.5,22464901,25742265,,,
"Nanggroe Aceh Darussalam, Prop.",ID.AC,GDP expenditure on gross fixed capital formation (in IDR Million),NE.GDI.FTOT.CR,,,,,,,,,,,,,,,,,,1080700,1443674,1460457,1661373,1829308,1756734,1615428,1859274,2654525,5185290,3355495,3611970,6722954,10134032,9660837,11603276,12358949.1,14131101.19,15932110.18,17807744,19846087,,,
"Nanggroe Aceh Darussalam, Prop.",ID.AC,GDP expenditure on imports (in IDR Million),NE.GDI.IMPT.CR,,,,,,,,,,,,,,,,,,-1003300,-1066953,-1079303,-992615,-1070836,-1703314,-1766814,2929613,3815936,766306,1483930,1477679,8702579,1145363,3158934,5334438,5949400.8,5658473.55,6619787.75,7360774.4,7817349.8,,,
"Nanggroe Aceh Darussalam, Prop.",ID.AC,GDP expenditure on non profit private institution consumption (in IDR Million),NE.GDI.CON.NPI.CR,,,,,,,,,,,,,,,,,,39335,45262,46127,47920,49019,49077,54036,,,,,,,,,,,,,,,,,
"Nanggroe Aceh Darussalam, Prop.",ID.AC,GDP expenditure on private consumption (in IDR Million),NE.GDI.CON.PRVT.CR,,,,,,,,,,,,,,,,,,3585867,4165961,4436494,4737445,5596744,9597136,10367704,8612936,9828787,10246099,11071967,12191774,18067878,21768030,23320134,24758708,28178574.92,31749437.26,35762467.91,38322570,41855349,,,
"Nanggroe Aceh Darussalam, Prop.",ID.AC,"GDP on Agriculture Sector (in IDR Million), Constant Price",NA.GDP.AGR.KR,1639059.5,2043577.4,2228310.8,2207682.8,2245317.4,2390116.1,2713268.5,2942239.9,3520503.2,3568521.5,3861754,4335420.4,4224000.5,4244093,4160847.6,4413094.5,4620729.9,5360940.6,5764805.4,6113968.2,6568822.4,6852287.2,6953788.1,6998674.3,6983016.5,7214472.55,7368266.89,7609133.78,8068975.59,7754983.01,7872777.58,8157603.69,8223515.8,8433957.9,8857389.65,9348967.32,9860987.7,,,,
"Nanggroe Aceh Darussalam, Prop.",ID.AC,"GDP on Agriculture Sector (in IDR Million), Current Price",NA.GDP.AGR.CR,,,,,,,,,,,,,,,,,,,,,,,,,6983016.5,8210039.97,9119077.01,10186910.96,12468149.03,15201941.74,16756170.97,18135800.49,19397727,20416142.15,21968443.81,23854174.05,25989473,,,,
"Nanggroe Aceh Darussalam, Prop.",ID.AC,"GDP on Construction Sector (in IDR Million), Constant Price",NA.GDP.CNST.KR,234714.72,282294.36,324012.87,439214.99,511826.06,735597.64,932829.1,990233.77,908608.05,753570.92,782035.94,789452.86,742774.8,1050175.7,1161666.2,1535922.4,1586731.2,1629588.9,1855619.2,2029348.6,2159599.3,2225789.1,1764692.3,1434159.5,1748657,1312299.66,1486528.26,1500577.7,1514429.19,1269977.23,1884767.1,2147334.15,2162056.2,2229792.49,2343693.95,2489441.95,2669273.5,,,,
"Nanggroe Aceh Darussalam, Prop.",ID.AC,"GDP on Construction Sector (in IDR Million), Current Price",NA.GDP.CNST.CR,,,,,,,,,,,,,,,,,,,,,,,,,1748657,1461991.64,1752181.6,1871442.91,2096016.06,1835053.5,4204062.04,5416251.01,6264000.9,6840529.68,7753499.11,8605898.07,10750490,,,,
"Nanggroe Aceh Darussalam, Prop.",ID.AC,"GDP on Financial Service Sector (in IDR Million), Constant Price",NA.GDP.FINS.KR,82113.919,98087.262,94455.067,96458.021,93916.606,98343.619,120807.2,130417.86,130257.31,156626.43,167562.59,185564.48,186814.67,189149.17,207089.09,239915.08,257692.9,268910.36,274540.11,281644.08,309634.51,262665.52,-58708.351,150479.51,232058.73,251741.07,312026.63,408728.97,488207.02,441702.99,493698.12,523430.59,545423.85,588136.87,620705.18,660994.03,707566.02,,,,
"Nanggroe Aceh Darussalam, Prop.",ID.AC,"GDP on Financial Service Sector (in IDR Million), Current Price",NA.GDP.FINS.CR,,,,,,,,,,,,,,,,,,,,,,,,,232058.73,268184.7,385404.47,488860.03,580297.94,838108.02,1361181.16,1351446.41,1480762,1789718.21,2048051.76,2253749.2,2741194.9,,,,
"Nanggroe Aceh Darussalam, Prop.",ID.AC,"GDP on Manufacturing Sector (in IDR Million), Constant Price",NA.GDP.MNF.KR,222700.37,254609.68,300822.75,363815.87,400999.04,373177.49,386979.63,467753.19,13540836,16088747,15009212,17812433,12637476,14158700,14303821,13785675,13957671,14354839,14805828,14718438,15169091,15361988,14051783,13120037,9758464.2,8403649.55,8861711.1,9010948.85,7407248.47,5755452.09,4996614.06,4491750.51,4118053.8,3794880.67,3491324.15,3549828.1,3594346.3,,,,
"Nanggroe Aceh Darussalam, Prop.",ID.AC,"GDP on Manufacturing Sector (in IDR Million), Current Price",NA.GDP.MNF.CR,,,,,,,,,,,,,,,,,,,,,,,,,9758464.2,9669243.45,9100434.47,9690529.64,9798164.28,10258030.58,8532035.63,7935043.61,8189778.5,7789412.14,7512522.95,7874065.57,8355687,,,,
"Nanggroe Aceh Darussalam, Prop.",ID.AC,"GDP on Mining and Quarrying Sector (in IDR Million), Constant Price",NA.GDP.MINQ.KR,1555133.3,1035412.3,845435.19,4127265.5,21135767,39852574,44311950,46684965,22038087,27074006,24076849,32929753,27866397,27321952,26925124,26239127,25461682,23657387,21603132,20962033,20263828,18431186,14931538,12945635,12225499,8813312.29,14699585.69,16148446.68,12263935.91,9489925.02,9244905.72,7294145.59,5307559.8,2797970.49,2612121.248,2614729.355,2591058.4,,,,
"Nanggroe Aceh Darussalam, Prop.",ID.AC,"GDP on Mining and Quarrying Sector (in IDR Million), Current Price",NA.GDP.MINQ.CR,,,,,,,,,,,,,,,,,,,,,,,,,12225499,8359884.62,12709331.31,14598576.53,12227982.85,13168944.03,19624400.3,15984348.03,13879138,8254553.62,8752687.673,10209749.53,10706346,,,,
